price,block,logIndex
1541.328961693007,28072365,4
1559.2237959360718,28072596,258
1560.4201629330985,28108764,166
1558.5546441596143,28108815,228
1558.285414406032,28108886,229
1559.8403129844187,28109015,174
1559.8216516271405,28109904,654
1559.1873646834931,28109980,559
1559.8417129438028,28110127,457
1557.450264403911,28110584,213
1558.5220432410608,28112631,101
1558.5082184707694,28112698,393
1554.04760816508,28142887,486
1550.0773359410234,28152272,518
1545.407146172419,28202635,564
1543.7965211878734,28369421,370
1542.189108834727,28378633,668
1541.8557710911336,28394512,313
1541.8032171971795,28409654,454
1541.799083398951,28410021,212
1541.8021417376592,28445404,605
1541.802060699177,28497905,337
1541.5095804277514,28532206,275
1539.3694121831122,28615052,372
1546.8539587206956,28615180,239
1555.2185149914844,28618069,660
1578.1328050423108,28618396,311
1589.8278711691537,28627481,365
1618.1238563737054,28657835,970
1627.6113162798715,28657923,248
1635.6167862751092,28658508,362
1630.7626490472967,28675869,456
1625.8575865989706,28681898,607
1620.773511756856,28818996,328
1620.7093068465072,28908352,467
1620.644653182508,28919359,254
1620.5800033871972,28919370,202
1620.257529764982,28964850,673
1615.3343864458573,29008008,518
1610.4181495251055,29027810,620
1604.3514724880956,29050992,277
1598.319012060358,29051060,540
1598.2885807426817,29228585,215
1612.5823345295764,29268354,642
1600.6022466176066,29268859,215
1612.5763281346092,29269626,485
1599.818622718039,29269729,207
1612.569938878092,29271864,1160
1599.8140845909963,29272368,516
1612.4801580181304,29272837,590
1606.085556141103,29281713,460
1618.8188571068774,29305396,304
1622.0100380843292,29305600,284
1602.7658037009137,29305961,348
1605.9411303568909,29306047,312
1622.0003872384852,29306215,667
1621.9356563038125,29307007,220
1622.0004058418715,29307048,331
1621.9354217020752,29307239,140
1622.0003733494689,29307783,148
1602.7563104545602,29322356,543
1602.7435936762224,29329922,530
1610.6877522338757,29348591,131
1626.634977213297,29356044,538
1620.1533606211988,29356315,318
1621.7492155412915,29356582,615
1602.5085918343166,29356715,189
1602.508591147422,29363238,3
1612.1068931622494,29391132,434
1607.8070002912536,29425530,270
1607.743117133169,29522548,346
1607.7303409584424,29525160,107
1601.3612777568185,29610950,184
1609.302008929241,29615316,327
1602.9264115601763,29615388,175
1610.8710175315923,29615606,644
1606.141340251833,29622158,2013
1605.8447621939104,29629536,277
1599.4896784236971,29630144,160
1605.8417486085164,29631904,1194
1605.3547490501323,29636811,253
1593.3152951404445,29648354,161
1592.3694627348293,29650789,153
1598.7026382825247,29653485,660
1598.0485758173113,29661017,169
1585.5789099620242,29661417,257
1585.3494734880694,29697606,644
1585.2252540136524,29709786,701
1583.9838618473325,29709851,940
1583.363712519307,29709863,354
1583.35123833437,29724703,405
1583.3388142426725,29746718,268
1580.2435967246993,29749104,677
1580.220806463756,29785544,59
1580.2083569456845,29811945,436
1580.1959075747343,29812443,58
1586.5048523996386,29835902,1171
1592.826366402156,29835973,562
1594.429999578001,29836249,1792
1590.4859145102769,29836551,44
1587.8677005812954,29967467,1231
1587.8551303129452,29987338,123
1599.6968142961978,30092739,535
1611.5824900216444,30092958,1721
1603.2867379426946,30093194,96
1603.2867372425703,30129793,15
1606.503091904155,30129838,554
1611.6999484806308,30173570,1823
1635.6577414940805,30173772,284
1630.4138862719044,30175713,407
1621.129765405425,30196144,55
1619.1939240114473,30213726,143
1618.0481174275135,30224161,174
1615.474173542475,30439290,110
1619.4595197834103,30439890,617
1621.055033033586,30440150,794
1612.25649024744,30524624,116
1611.7354478239529,30528378,833
1612.2557046468985,30528378,841
1611.9981998848016,30598766,32
1607.3123427393468,30616779,283
1607.2984126783956,30678336,96
1606.427094420369,30751211,225
1604.3538459810593,30770216,795
1604.3668471424833,30770631,524
1604.8012910422538,30773096,847
1604.7998998999833,30776050,117
1604.7859885767668,30776091,205
1604.7873710345348,30776174,175
1604.8012062078683,30776188,21
1604.7872948676666,30776215,164
1604.8012594607917,30776277,547
1604.8038600514053,30797780,360
1604.6657281202426,30810602,320
1605.5326717643986,30829211,731
1606.3998495346748,30829846,825
1606.6421515456125,30829982,1033
1607.5096288489362,30830481,733
1607.4956962231886,30855444,566
1607.4929097197753,30895031,177
1607.4789773113891,30922450,482
1606.996642770784,30927538,581
1606.9952501676296,30929765,338
1606.9938575662857,30930639,725
1606.992464966752,30931018,241
1606.9910723690284,30931943,889
1606.9896797731149,30932014,248
1606.988287179012,30932381,574
1606.9106743546054,30932966,1150
1606.9882541061047,30932966,1161
1606.9854656905432,30935050,524
1606.984491363664,30935521,282
1606.4751813923772,30968557,702
1606.473789467006,30970857,325
1606.472397543443,30971513,252
1606.4688973871305,30999913,181
1606.4549782895226,31000189,200
1606.4410593728153,31002622,285
1605.952869264779,31009233,500
1605.9505736531364,31010730,99
1605.9421772627743,31014122,44
1605.9407860300748,31029559,136
1605.428881965263,31034105,657
1604.5470494422214,31039137,131
1603.67374759423,31041277,64
1601.03477142706,31042121,52
1593.0850093444722,31044182,116
1592.959123581115,31064417,569
1592.3299185272572,31065589,689
1592.3236220630108,31079340,566
1592.311041845599,31135773,252
1587.5932287709095,31151676,719
1587.5807045707288,31154398,781
1583.152760052384,31167711,958
1583.1402883602734,31187462,365
1558.7082282902263,31209582,400
1558.6881922763914,31228107,128
1558.6760085528672,31258922,806
1557.45713847258,31269806,181
1562.1535351352798,31311552,85
1562.1168624222348,31333836,717
1562.08060324833,31342550,144
1562.1589345974694,31388046,2
1557.7785490174315,31388060,2
1562.1589345974694,31389474,2
1557.7785490174315,31389488,2
1562.1589345974694,31389720,2
1557.7785490174315,31389734,2
